run_id,RF_power_W,Bias_V,Pressure_mTorr,GasFlow_sccm,Temp_C,Time_s,RecipeFamily,Yield_%
DOE_0001,637.5668266232669,192.95092343274175,30.498915861097405,67.9632792517261,49.14647649873688,117.20904933781266,B,51.48
DOE_0002,828.0496606787028,297.1201976243648,46.34926386563484,171.4969710414038,100.1055929746338,11.808696671481066,B,24.52
DOE_0003,742.9799831716355,25.518011580864425,21.289762761626648,118.09261103711357,105.18480533547844,108.1616783948445,B,78.58
DOE_0004,357.6450329934143,113.6941769255444,30.70360532345215,293.2991723624091,66.82978376504019,94.42128531001931,C,54.99
DOE_0005,410.1163994378578,8.251262066757391,50.35248973572327,333.9319723804327,37.37760044515882,46.50423564159032,B,0.0
DOE_0006,811.4874117773833,243.03071306690399,6.934911471479484,70.10302891948089,92.89306953322398,84.84999948929897,C,50.03
DOE_0007,203.6857131959023,171.66491063048719,21.011960037528404,352.15567890621605,45.22030410100129,50.661492472753515,C,4.46
DOE_0008,774.8598928679364,226.660507497598,31.865398717181836,293.58615624351614,64.16161514187013,80.05220367414067,A,83.15
DOE_0009,757.9486001264323,133.12656712925624,51.83261898188857,125.94259540546352,85.3444005719841,56.78872484042407,B,28.69
DOE_0010,527.5544669906046,295.56315618925595,19.85182570413803,370.54146232746905,135.52401315178506,110.65248224323838,A,50.45
DOE_0011,412.12269877351946,77.88876993965201,50.269092240363825,152.56481201330595,37.582773452954356,60.337288195035,B,0.06
DOE_0012,394.89792847054133,407.9934107561212,18.449944376956854,325.9627873222421,28.84321407646889,99.35417866942468,B,8.68
DOE_0013,378.4087113578872,432.03665480484574,21.673302059452304,76.23586510234065,84.66338047415782,73.38894185185772,C,44.81
DOE_0014,511.5534141178526,221.8471457565414,35.45999501651107,209.61713860888145,133.17030777747073,50.968938792533926,A,63.31
DOE_0015,553.1837812705674,209.42555666616934,40.964786172380315,227.01434688761387,25.54402533736116,116.34097787367855,C,5.99
DOE_0016,587.4481464521448,386.8275176258233,53.403849659421155,363.8049789158018,97.05413339776078,31.492384102759846,C,14.51
DOE_0017,896.8501984040748,130.42700890995272,53.37068884682618,342.78397476387045,23.27405514069337,109.89875223985364,B,0.06
DOE_0018,754.8633434496271,361.3975561831172,18.75889625892124,241.23448764993782,86.12580482289948,117.94262807397509,A,82.21
DOE_0019,635.5254606088139,129.2884241584075,46.008119187965704,68.0376306165,34.29967943289612,103.39905589772961,B,2.82
DOE_0020,892.2721033773195,323.9841575357888,39.92461617176023,200.49213743123673,99.09458192487976,77.14434231563209,C,49.96
DOE_0021,350.7160887649193,150.3051038216244,26.237894309958538,181.35242173804122,63.31829201539015,78.46813447587476,B,59.5
DOE_0022,312.1484237004912,271.1707520655412,47.68230260134245,398.4230461524311,98.5483897390809,112.12745938389014,A,5.33
DOE_0023,628.7777229911215,416.6407108298054,54.36356547263698,288.25161881547365,50.98985118017805,57.64256534521914,B,6.76
DOE_0024,230.75940557296835,24.446153423589212,31.35570153732842,191.76961651690863,28.989745907476067,100.680392896305,A,1.11
DOE_0025,224.9761951415173,363.26458243924066,55.38579397299734,177.68563384570788,41.82601387698753,95.20876133937409,B,0.5
DOE_0026,560.4221741899592,243.83050608727314,12.0191415782685,318.6527709574447,52.86986485311982,104.45535242575762,A,63.89
DOE_0027,526.3442177277024,170.58043367519664,14.140487824938145,83.52292154764575,39.77212507800917,58.47749955518618,B,29.73
DOE_0028,842.0174412349966,157.62395570614072,47.03105958979173,335.95623602114085,43.812091508059574,81.7792161417636,C,8.73
DOE_0029,640.4583781437073,31.235410464934432,21.805342733511907,284.8151882634225,85.30166551101897,20.149329144112688,A,88.84
DOE_0030,559.8823526196597,116.2704138528013,37.19512176026196,202.3543391197819,72.51702620496489,17.929580032581313,B,75.28
DOE_0031,547.811404775453,280.4116611578569,32.338910873117975,298.6156878092096,119.03605845448465,21.82165447454756,C,74.93
