timestamp,tool_run_id,RF_power_W,ChamberPressure_mTorr,Temp_C
2026-01-01 08:00:00,RUN_04,581.8,40.67,77.92
2026-01-01 08:02:00,RUN_04,585.7,27.59,80.44
2026-01-01 08:04:00,RUN_04,622.1,27.46,49.29
2026-01-01 08:06:00,RUN_04,517.6,18.45,92.63
2026-01-01 08:08:00,RUN_04,662.1,20.99,80.57
2026-01-01 08:10:00,RUN_04,629.2,37.24,90.23
2026-01-01 08:12:00,RUN_04,680.2,40.8,84.07
2026-01-01 08:14:00,RUN_04,601.4,31.61,145.9087650842149
2026-01-01 08:16:00,RUN_04,639.5,23.99,80.87
2026-01-01 08:18:00,RUN_04,684.1,37.27,81.04
2026-01-01 08:20:00,RUN_04,585.1,41.4,87.08
2026-01-01 08:22:00,RUN_04,563.2,10.57,91.95
2026-01-01 08:24:00,RUN_04,769.8942891295079,15.56,70.64
2026-01-01 08:26:00,RUN_04,652.2,31.54,64.27
2026-01-01 08:28:00,RUN_04,626.2,26.7,83.0
2026-01-01 08:30:00,RUN_04,593.1,27.79,90.96
2026-01-01 08:32:00,RUN_04,510.6,0.12,86.06
2026-01-01 08:34:00,RUN_04,563.5,32.87,103.17
2026-01-01 08:36:00,RUN_04,435.1,22.59,83.83
2026-01-01 08:38:00,RUN_04,572.1,29.69,95.49
2026-01-01 08:40:00,RUN_04,506.7,16.21,93.55
2026-01-01 08:42:00,RUN_04,730.3,41.66,90.84
2026-01-01 08:44:00,RUN_04,526.9,38.25,60.84
2026-01-01 08:46:00,RUN_04,450.1,9.93,98.87
2026-01-01 08:48:00,RUN_04,509.1,33.64,76.42
