timestamp,tool_run_id,RF_power_W,ChamberPressure_mTorr,Temp_C
2026-01-01 08:00:00,RUN_05,500.0,14.21,82.6
2026-01-01 08:02:00,RUN_05,480.2,27.58,75.57
2026-01-01 08:04:00,RUN_05,547.7,13.49,92.52
2026-01-01 08:06:00,RUN_05,504.3,28.13,97.06
2026-01-01 08:08:00,RUN_05,707.7,13.47,79.17
2026-01-01 08:10:00,RUN_05,624.8,81.76242962416504,87.75
2026-01-01 08:12:00,RUN_05,530.9,23.91,77.14
2026-01-01 08:14:00,RUN_05,550.8,39.26,75.56
2026-01-01 08:16:00,RUN_05,828.9,16.48,85.95
2026-01-01 08:18:00,RUN_05,551.2,13.68,91.28
2026-01-01 08:20:00,RUN_05,539.0,19.83,78.24
2026-01-01 08:22:00,RUN_05,624.3,16.01,58.44
2026-01-01 08:24:00,RUN_05,651.1,20.28,92.03
2026-01-01 08:26:00,RUN_05,617.7,28.37,65.84
2026-01-01 08:28:00,RUN_05,527.3,31.18,86.46
2026-01-01 08:30:00,RUN_05,507.3,38.28,106.35
2026-01-01 08:32:00,RUN_05,647.7,19.11,84.8
2026-01-01 08:34:00,RUN_05,595.7,46.11,124.9149929243265
2026-01-01 08:36:00,RUN_05,468.7,40.86,112.5369337685566
2026-01-01 08:38:00,RUN_05,693.7,23.37,99.05
2026-01-01 08:40:00,RUN_05,787.4013404925553,6.67,84.8
2026-01-01 08:42:00,RUN_05,580.7,24.34,91.48
2026-01-01 08:44:00,RUN_05,579.2,25.58,96.12
2026-01-01 08:46:00,RUN_05,618.5,6.61,84.41
2026-01-01 08:48:00,RUN_05,545.0,25.59,81.3
