timestamp,tool_run_id,RF_power_W,ChamberPressure_mTorr,Temp_C
2026-01-01 08:00:00,RUN_02,583.0,34.69,89.94
2026-01-01 08:02:00,RUN_02,689.2,46.67,143.29564921233094
2026-01-01 08:04:00,RUN_02,765.409950710755,11.21,78.27
2026-01-01 08:06:00,RUN_02,647.2,24.28,79.95
2026-01-01 08:08:00,RUN_02,696.1,27.77,81.69
2026-01-01 08:10:00,RUN_02,330.0,25.16,76.94
2026-01-01 08:12:00,RUN_02,560.1,36.74,99.58
2026-01-01 08:14:00,RUN_02,654.9,36.19,81.53
2026-01-01 08:16:00,RUN_02,596.8,15.58,97.39
2026-01-01 08:18:00,RUN_02,606.8,27.39,60.21
2026-01-01 08:20:00,RUN_02,729.9,29.63,108.14
2026-01-01 08:22:00,RUN_02,568.3,23.87,72.91
2026-01-01 08:24:00,RUN_02,505.5,35.34,93.18
2026-01-01 08:26:00,RUN_02,569.4,17.1,98.93
2026-01-01 08:28:00,RUN_02,699.4,6.79,74.77
2026-01-01 08:30:00,RUN_02,499.0,19.03,91.82
2026-01-01 08:32:00,RUN_02,627.9,35.54,73.95
2026-01-01 08:34:00,RUN_02,626.5,25.93,68.06
2026-01-01 08:36:00,RUN_02,702.5,32.51,86.5
2026-01-01 08:38:00,RUN_02,711.6,27.87,86.7
2026-01-01 08:40:00,RUN_02,580.1,8.62,111.22
2026-01-01 08:42:00,RUN_02,417.5,26.69,93.25
2026-01-01 08:44:00,RUN_02,699.0,26.19,106.25
2026-01-01 08:46:00,RUN_02,478.2,17.83,78.49
2026-01-01 08:48:00,RUN_02,594.8,25.36,101.44
