timestamp,tool_run_id,RF_power_W,ChamberPressure_mTorr,Temp_C
2026-01-01 08:00:00,RUN_01,735.2,13.39,107.94
2026-01-01 08:02:00,RUN_01,562.7,21.76,87.85
2026-01-01 08:04:00,RUN_01,602.6,6.69,86.22
2026-01-01 08:06:00,RUN_01,632.6,33.4,88.03
2026-01-01 08:08:00,RUN_01,536.9,21.67,83.41
2026-01-01 08:10:00,RUN_01,600.2,19.06,81.29
2026-01-01 08:12:00,RUN_01,599.9,33.58,67.78
2026-01-01 08:14:00,RUN_01,459.6,11.79,91.02
2026-01-01 08:16:00,RUN_01,757.8553960477834,29.28,83.86
2026-01-01 08:18:00,RUN_01,648.0,8.48,99.32
2026-01-01 08:20:00,RUN_01,550.0,55.240591299426384,80.57
2026-01-01 08:22:00,RUN_01,586.3,15.37,62.12
2026-01-01 08:24:00,RUN_01,640.4,36.7,83.8
2026-01-01 08:26:00,RUN_01,579.1,39.13,105.39
2026-01-01 08:28:00,RUN_01,580.6,22.36,80.4
2026-01-01 08:30:00,RUN_01,483.7,31.73,74.32
2026-01-01 08:32:00,RUN_01,644.4,23.56,70.68
2026-01-01 08:34:00,RUN_01,609.9,29.54,126.05024326433211
2026-01-01 08:36:00,RUN_01,622.0,18.98,81.4
2026-01-01 08:38:00,RUN_01,477.9,11.33,70.84
2026-01-01 08:40:00,RUN_01,732.1,80.16692928387732,102.97
2026-01-01 08:42:00,RUN_01,612.3,28.06,81.61
2026-01-01 08:44:00,RUN_01,569.0,42.98,86.3
2026-01-01 08:46:00,RUN_01,762.3,27.16,102.26
2026-01-01 08:48:00,RUN_01,596.4,20.8,103.04
